AKIA[0-9A-Z]{16}(?![0-9A-Z]), AWS Access Key ID
(?<![A-Za-z0-9/+=])(?<![A-Z0-9])[A-Za-z0-9/+=]{40}(?![A-Za-z0-9]), AWS Secret Access Keys
-----BEGIN (?:[A-Z ]*?)PRIVATE KEY-----, KEYS
AIza[0-9A-Za-z-_]{35}(?![0-9A-Za-z-_]), Google API Key
[a-z]+:\/\/[^\s:@]+:[^\s:@]+@[^\s:@]+:[0-9]+\/[^\s:@]+, URI-secret
(db[_-]?password|database[_-]?pass)[\s=:'"]{0,10}.*(?:\d|\w|[@#$%^&+=]{8,}), password db
(password|pass|pwd)[\s=:]{0,10}[A-Za-z0-9@#$%^&+=]{8,50}, password
(api[_-]?key|access[_-]?key)[\s=:]{0,10}[a-zA-Z0-9]{16,40}, secret
xox(?:[a-z]-[0-9]*|e\.[a-zA-Z0-9-]*-)[a-zA-Z0-9-]{10,200}, slack
ghp_[A-Za-z0-9]{36}, github
ey[A-Za-z0-9-_]+?\.[A-Za-z0-9-_]+?\.[A-Za-z0-9-_]+?, Tokens
